Duration,Start Year,End Year,Duration,Country,Cause,Range Death,Mean Death,Death per Year,Source
1870-71,1870,1871,,Persia,"Economic crisis, drought","500,000-1.5 million",1000000,,"Foran 1989, Okasaki 1986"
1876-1879,1876,1879,,"China (Shanxi, Henan, Shandong, Zhili, and Shaanxi)","Drought, lack of state capacity due to rebellion & colonialism",9m,9000000,,"Edgerton-Tarpley, 2008; Fuller, 2015; Davis, 2002; Li, 2007. "
1870s,1870,1879,,India,"Drought, colonialism",6m,6000000,,"Davis, 2002"
1876-79,1876,1876,,Brazil,"Drought, economic crisis",500000,500000,,"Cunniff, 1970"
1885-99,1885,1899,,Congo,"Colonialism, forced labor",3m,3000000,,"Hochschild, 1998; Acherson 1999"
1888-89,1888,1889,,India (Ganjam),"Drought, colonialism",150000,150000,,"Dyson, 1989"
1888-92,1888,1892,,Ethiopia,"Drought, war, rinderpest",1m,1000000,,"Pankhurst, 1968"
1888-92,1888,1892,,Sudan,"Drought, war",2m,2000000,,"de Waal, 1989"
1891-92,1891,1892,,Russia,"Drought, economic crisis",275000,275000,,"Robbins, 1970"
1896-7,1896,1897,,India,"Drought, colonialism",5.5m,5500000,,"Dyson, 1989"
1897-1901,1897,1901,,China,"Drought, economic crisis, colonial warfare, internal rebellion",1m,1000000,,"Mallory, 1926; Li, 2007; Esherick, 1987; Cohen, 1997.  "
1896-1900,1896,1900,,Brazil,"Drought, economic crisis",1m,1000000,,"Smith, 1946"
1899-1901,1899,1901,,India,"Drought, colonialism",1m,1000000,,"Dyson, 1989"
1899-1902,1899,1902,,S Africa[1],Boer War camps,42000,42000,,"Carver, 2000"
1904-07,1904,1907,,Namibia[2],Genocide,"34-110,000",72000,,"Olusoga and Ericsen, 2011"
1905-7,1905,1907,,Tanganyika,Repression of rebellion,200000,200000,,"Iliffe, 1979"
1906-7,1906,1907,,India,"Drought, colonialism",250000,250000,,"Dyson, 1989"
1913-14,1913,1914,,Sahel,"Drought, colonial conquest",125000,125000,,"Schove, 1977"
1914-16,1914,1916,,East Africa,War,300000,300000,,"Paice, 2007 "
1915-18,1915,1918,,Greater Syria (including Lebanon),"War, blockade, locusts",350000,350000,,"Schilcher, 1992 p.229; Antonius 1946, p.241; Fawaz 2015"
1915-16,1915,1916,,Turkey (Armenians),"Genocide, forced deportation",400000,400000,,"Morgenthau, 1918; Gilbert 1994; Suny, 2015; Kevorkian 2011"
1917-18,1917,1918,,Germany,Blockade,763000,763000,,"Vincent, 1985"
1917-19,1917,1919,,Persia,"War, drought",455200,455200,,"Afkhami, 2003"
1919,1919,1919,,Armenia,Post-conflict,200000,200000,,Hovannisian 1971 p. 130
1920-21,1920,1920,,"China (Henan, Shaanxi, Shandong, Shanxi,","Drought, economic crisis",500000,500000,,"Mallory, 1926; Fuller, 2013; Peking United International Famine Relief Committee, 1922; Li, 2007Zhili (Hebei))"
